"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"H2O",55,1,1,1,0,0
"Mock1",2286,1110,1100,1105,1070,1070
"R0011",9828,6518,5694,5985,4073,4073
"R0012",54,4,1,1,1,1
"R0013",6109,2640,1962,2306,1507,1507
"R0014",8151,5583,4807,5131,3600,3600
"R0015",10572,7281,5931,6351,4384,4380
"R0016",9209,5039,4245,4582,2890,2888
"R0030",9032,5851,4991,5326,3490,3490
"R0031",9154,4626,3934,4213,2973,2973
"R0032",13654,8907,7835,8260,5626,5626
"R0035",7721,4137,3423,3775,2569,2569
"R0036",3174,1007,569,807,295,295
"R0038",12506,8271,7349,7654,5214,5214
"R0070",6407,4343,3659,3953,2487,2487
"R0071",8128,4833,4107,4322,2646,2646
"R0072",10844,7240,6420,6700,4639,4639
"R0074",10784,7566,6515,6870,4670,4670
"R0077",14228,9442,8448,8869,6192,6181
"R0078",13184,8921,7992,8270,5747,5747
"R0079",4949,1917,1344,1647,971,971
"R0110",12837,8736,7717,8153,5875,5869
"R0111",14611,9897,8856,9273,6467,6461
"R0112",5110,2321,1588,1954,1046,1046
"R0113",10565,7165,6260,6609,4436,4436
"R0114",9476,6346,5515,5861,4203,4203
"R0115",5606,2393,1791,2081,1340,1340
"R0116",11912,7886,6819,7175,4764,4764
"R0117",13138,8879,7802,8175,5294,5292
"R0118",11289,7839,6991,7238,5101,5101
"R0119",13556,9051,8063,8365,5666,5666
"R0130",6429,3023,2240,2632,1481,1476
"R0131",9622,6362,5554,5830,4048,4048
"R0132",8077,5092,4431,4635,3249,3249
"R0133",8446,5428,4681,4942,3212,3212
"R0134",6814,4494,3691,4031,2231,2231
"R0135",5629,2757,2189,2463,1645,1645
"R0136",8317,4509,3908,3935,2230,2230
"R0137",7726,4003,3212,3589,2355,2355
"R0138",9582,6239,5387,5753,3922,3922
"R0139",12440,8424,7535,7804,5613,5613
