"","dada2_input","filtered","dada_f","dada_r","merged","nonchim","final_perc_reads_retained"
"H2O_1_S109_R1_001_trimmed.fastq.gz",55,1,1,1,0,0,0
"Mock1_S166_R1_001_trimmed.fastq.gz",2286,1110,1100,1105,1070,1070,46.8
"R0011_S152_R1_001_trimmed.fastq.gz",9828,6518,5694,5985,4073,4073,41.4
"R0012_S90_R1_001_trimmed.fastq.gz",54,4,1,1,1,1,1.9
"R0013_S161_R1_001_trimmed.fastq.gz",6109,2640,1962,2306,1507,1507,24.7
"R0014_S191_R1_001_trimmed.fastq.gz",8151,5583,4807,5131,3600,3600,44.2
"R0015_S123_R1_001_trimmed.fastq.gz",10572,7281,5931,6351,4384,4380,41.4
"R0016_S106_R1_001_trimmed.fastq.gz",9209,5039,4245,4582,2890,2888,31.4
"R0030_S141_R1_001_trimmed.fastq.gz",9032,5851,4991,5326,3490,3490,38.6
"R0031_S133_R1_001_trimmed.fastq.gz",9154,4626,3934,4213,2973,2973,32.5
"R0032_S124_R1_001_trimmed.fastq.gz",13654,8907,7835,8260,5626,5626,41.2
"R0035_S102_R1_001_trimmed.fastq.gz",7721,4137,3423,3775,2569,2569,33.3
"R0036_S139_R1_001_trimmed.fastq.gz",3174,1007,569,807,295,295,9.3
"R0038_S172_R1_001_trimmed.fastq.gz",12506,8271,7349,7654,5214,5214,41.7
"R0070_S122_R1_001_trimmed.fastq.gz",6407,4343,3659,3953,2487,2487,38.8
"R0071_S170_R1_001_trimmed.fastq.gz",8128,4833,4107,4322,2646,2646,32.6
"R0072_S132_R1_001_trimmed.fastq.gz",10844,7240,6420,6700,4639,4639,42.8
"R0074_S171_R1_001_trimmed.fastq.gz",10784,7566,6515,6870,4670,4670,43.3
"R0077_S184_R1_001_trimmed.fastq.gz",14228,9442,8448,8869,6192,6181,43.4
"R0078_S181_R1_001_trimmed.fastq.gz",13184,8921,7992,8270,5747,5747,43.6
"R0079_S101_R1_001_trimmed.fastq.gz",4949,1917,1344,1647,971,971,19.6
"R0110_S130_R1_001_trimmed.fastq.gz",12837,8736,7717,8153,5875,5869,45.7
"R0111_S169_R1_001_trimmed.fastq.gz",14611,9897,8856,9273,6467,6461,44.2
"R0112_S163_R1_001_trimmed.fastq.gz",5110,2321,1588,1954,1046,1046,20.5
"R0113_S150_R1_001_trimmed.fastq.gz",10565,7165,6260,6609,4436,4436,42
"R0114_S128_R1_001_trimmed.fastq.gz",9476,6346,5515,5861,4203,4203,44.4
"R0115_S100_R1_001_trimmed.fastq.gz",5606,2393,1791,2081,1340,1340,23.9
"R0116_S165_R1_001_trimmed.fastq.gz",11912,7886,6819,7175,4764,4764,40
"R0117_S180_R1_001_trimmed.fastq.gz",13138,8879,7802,8175,5294,5292,40.3
"R0118_S174_R1_001_trimmed.fastq.gz",11289,7839,6991,7238,5101,5101,45.2
"R0119_S147_R1_001_trimmed.fastq.gz",13556,9051,8063,8365,5666,5666,41.8
"R0130_S143_R1_001_trimmed.fastq.gz",6429,3023,2240,2632,1481,1476,23
"R0131_S126_R1_001_trimmed.fastq.gz",9622,6362,5554,5830,4048,4048,42.1
"R0132_S105_R1_001_trimmed.fastq.gz",8077,5092,4431,4635,3249,3249,40.2
"R0133_S110_R1_001_trimmed.fastq.gz",8446,5428,4681,4942,3212,3212,38
"R0134_S117_R1_001_trimmed.fastq.gz",6814,4494,3691,4031,2231,2231,32.7
"R0135_S167_R1_001_trimmed.fastq.gz",5629,2757,2189,2463,1645,1645,29.2
"R0136_S146_R1_001_trimmed.fastq.gz",8317,4509,3908,3935,2230,2230,26.8
"R0137_S99_R1_001_trimmed.fastq.gz",7726,4003,3212,3589,2355,2355,30.5
"R0138_S91_R1_001_trimmed.fastq.gz",9582,6239,5387,5753,3922,3922,40.9
"R0139_S188_R1_001_trimmed.fastq.gz",12440,8424,7535,7804,5613,5613,45.1
