"","CowId","DIM_Target","CaseOrControl","Calving","DIM","ReadCountRaw","ReadCountTrim","Batch","ReadCountHost","FarmId","SampleType","DaysToInfection","WeeksToInfection","ReadCountNonHost","SampleId"
"USDA1","1756","7","Case","4/24/19",-26,32637477,30675098,"1",16032400,"Farm D","Sample",-33,"-5",14642698,"USDA1"
"USDA9","1705","4","Control","4/1/19",-3,34044168,33206628,"1",24848858,"Farm D","Sample",-7,"-1",8357770,"USDA9"
"USDA19","1732","10","Case","4/5/19",-7,30054834,29284564,"1",12754187,"Farm D","Sample",-17,"-3",16530377,"USDA19"
"USDA21","1748","2","Control","4/30/19",-32,30499981,29776566,"3",2243695,"Farm D","Sample",-34,"-5",27532871,"USDA21"
"USDA24","1747","3","Control","4/15/19",3,28473605,27729619,"1",154392,"Farm D","Sample",0,"-1",27575227,"USDA24"
"USDA31","1710","10","Case","4/5/19",-7,28497243,28033482,"1",845287,"Farm D","Sample",-17,"-3",27188195,"USDA31"
"USDA38","1702","6","Case","3/30/19",5,42272106,41075663,"2",38961861,"Farm D","Sample",-1,"-1",2113802,"USDA38"
"USDA43","1715","2","Control","5/14/19",-26,26088655,25571022,"1",2777470,"Farm D","Sample",-28,"-4",22793552,"USDA43"
"USDA44","1716","3","Case","5/7/19",-19,27373043,26768828,"2",2794358,"Farm D","Sample",-22,"-4",23974470,"USDA44"
"USDA47","1714","7","Control","5/9/19",-21,22541919,21782396,"2",7572227,"Farm D","Sample",-28,"-4",14210169,"USDA47"
"USDA48","8438","5","Control","5/5/19",-17,30361215,29739977,"1",1819852,"Farm D","Sample",-22,"-4",27920125,"USDA48"
"USDA52","1760","7","Control","5/23/19",-35,27807752,27076434,"2",3663193,"Farm D","Sample",-42,"-6",23413241,"USDA52"
"USDA54","1735","3","Control","4/28/19",-10,32714968,32053778,"2",1976361,"Farm D","Sample",-13,"-2",30077417,"USDA54"
"USDA55","1725","8","Control","4/24/19",-26,51147486,49881109,"1",6657174,"Farm D","Sample",-34,"-5",43223935,"USDA55"
