"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Methanobacterium subterraneum","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobacterium","Methanobacterium subterraneum"
"Methanobrevibacter millerae","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter","Methanobrevibacter millerae"
"Methanobrevibacter thaueri","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter","Methanobrevibacter thaueri"
"Methanosphaera sp BMS","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanosphaera","Methanosphaera sp BMS"
"Methanoculleus bourgensis","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiaceae","g__Methanoculleus","Methanoculleus bourgensis"
"Methanoculleus marisnigri","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiaceae","g__Methanoculleus","Methanoculleus marisnigri"
"Methanoculleus sediminis","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiaceae","g__Methanoculleus","Methanoculleus sediminis"
"Methanomicrobiales archaeon HGW Methanomicrobiales 2","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiales_unclassified","g__Methanomicrobiales_unclassified","Methanomicrobiales archaeon HGW Methanomicrobiales 2"
"Methanomicrobiales archaeon HGW Methanomicrobiales 6","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanomicrobiales_unclassified","g__Methanomicrobiales_unclassified","Methanomicrobiales archaeon HGW Methanomicrobiales 6"
"Methanosaeta harundinacea","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosaetaceae","g__Methanothrix","Methanosaeta harundinacea"
"Methanothrix soehngenii","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosaetaceae","g__Methanothrix","Methanothrix soehngenii"
"Methanomethylovorans hollandica","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanomethylovorans","Methanomethylovorans hollandica"
"Methanosarcina barkeri","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanosarcina","Methanosarcina barkeri"
"Methanosarcina flavescens","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanosarcina","Methanosarcina flavescens"
"Methanosarcina mazei","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanosarcina","Methanosarcina mazei"
"Methanosarcina thermophila","k__Archaea","p__Euryarchaeota","c__Methanomicrobia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanosarcina","Methanosarcina thermophila"
"Methanomassiliicoccales archaeon RumEn M2","k__Archaea","p__Euryarchaeota","c__Thermoplasmata","o__Methanomassiliicoccales","f__Methanomassiliicoccales_unclassified","g__Methanomassiliicoccales_unclassified","Methanomassiliicoccales archaeon RumEn M2"
"Candidatus Nitrosocosmicus oleophilus","k__Archaea","p__Thaumarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrosocosmicus","Candidatus Nitrosocosmicus oleophilus"
"Luteitalea pratensis","k__Bacteria","p__Acidobacteria","c__Acidobacteria_subdivision_6","o__Acidobacteria_subdivision_6_unclassified","f__Vicinamibacteraceae","g__Luteitalea","Luteitalea pratensis"
"Chloracidobacterium thermophilum","k__Bacteria","p__Acidobacteria","c__Blastocatellia","o__Blastocatellia_unclassified","f__Blastocatellia_unclassified","g__Chloracidobacterium","Chloracidobacterium thermophilum"
"Actinobacteria bacterium DSM 45722","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinobacteria_unclassified","f__Actinobacteria_unclassified","g__Actinobacteria_unclassified","Actinobacteria bacterium DSM 45722"
"Thermobispora bispora","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinobacteria_unclassified","f__Actinobacteria_unclassified","g__Thermobispora","Thermobispora bispora"
"Actinomyces denticolens","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","Actinomyces denticolens"
"Actinomycetaceae bacterium sk1b4","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomycetaceae_unclassified","Actinomycetaceae bacterium sk1b4"
"Trueperella pyogenes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Trueperella","Trueperella pyogenes"
"Aeriscardovia aeriphila","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Aeriscardovia","Aeriscardovia aeriphila"
"Bifidobacterium adolescentis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium adolescentis"
"Bifidobacterium angulatum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium angulatum"
"Bifidobacterium animalis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium animalis"
"Bifidobacterium anseris","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium anseris"
"Bifidobacterium bifidum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium bifidum"
"Bifidobacterium boum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium boum"
"Bifidobacterium breve","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium breve"
"Bifidobacterium choerinum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium choerinum"
"Bifidobacterium criceti","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium criceti"
"Bifidobacterium longum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium longum"
"Bifidobacterium magnum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium magnum"
"Bifidobacterium merycicum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium merycicum"
"Bifidobacterium minimum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","Bifidobacterium minimum"
