ID,SampleName, NumberOfInputReads_forhostrem , Mapped , Unmapped 
108_MC_B2_S20,108_MC_B2_S20,115794514,11651558,104142956
109_NegContCooler_C2_S53,109_NegContCooler_C2_S53,403208,309314,93894
110_NegSC_D2_S4,110_NegSC_D2_S4,952426,654653,297773
NPB_F1_1_A2_S1,NPB_F1_1_A2_S1,160537019,49204083,111332936
NPB_F1_10_B3_S10,NPB_F1_10_B3_S10,122754620,30573336,92181284
NPB_F1_11_C3_S11,NPB_F1_11_C3_S11,118074484,30953186,87121298
NPB_F1_12_D3_S12,NPB_F1_12_D3_S12,119836061,31458581,88377480
NPB_F1_2_B2_S2,NPB_F1_2_B2_S2,142445108,36234649,106210459
NPB_F1_3_C2_S3,NPB_F1_3_C2_S3,139246468,31690180,107556288
NPB_F1_4_D2_S4,NPB_F1_4_D2_S4,91840175,18253150,73587025
NPB_F1_5_E2_S5,NPB_F1_5_E2_S5,212344394,45300476,167043918
NPB_F1_6_F2_S6,NPB_F1_6_F2_S6,154037965,30781216,123256749
NPB_F1_7_G2_S7,NPB_F1_7_G2_S7,141635695,31661113,109974582
NPB_F1_8_H2_S8,NPB_F1_8_H2_S8,169834893,43680484,126154409
NPB_F1_9_A3_S9,NPB_F1_9_A3_S9,113625916,32696954,80928962
NPB_F10_1_E6_S15,NPB_F10_1_E6_S15,158391366,53711771,104679595
NPB_F10_10_F7_S24,NPB_F10_10_F7_S24,119421864,39812590,79609274
NPB_F10_11_G7_S25,NPB_F10_11_G7_S25,129066199,42418124,86648075
NPB_F10_12_H7_S26,NPB_F10_12_H7_S26,125818001,39592568,86225433
NPB_F10_2_F6_S16,NPB_F10_2_F6_S16,116934,45712,71222
NPB_F10_3_G6_S17,NPB_F10_3_G6_S17,135764634,49046430,86718204
NPB_F10_4_H6_S18,NPB_F10_4_H6_S18,118223937,39855492,78368445
NPB_F10_5_A7_S19,NPB_F10_5_A7_S19,142672370,46026820,96645550
NPB_F10_6_B7_S20,NPB_F10_6_B7_S20,130728499,44702688,86025811
NPB_F10_7_C7_S21,NPB_F10_7_C7_S21,129610007,41653353,87956654
NPB_F10_8_D7_S22,NPB_F10_8_D7_S22,122823679,36546494,86277185
NPB_F10_9_E7_S23,NPB_F10_9_E7_S23,128160712,40233858,87926854
NPB_F11_1_A8_S27,NPB_F11_1_A8_S27,130783019,39192399,91590620
NPB_F11_10_B9_S36,NPB_F11_10_B9_S36,123970885,49044893,74925992
NPB_F11_11_C9_S37,NPB_F11_11_C9_S37,141059093,51346835,89712258
NPB_F11_12_D9_S38,NPB_F11_12_D9_S38,86227615,24722173,61505442
NPB_F11_2_B8_S28,NPB_F11_2_B8_S28,139581914,46191465,93390449
NPB_F11_3_C8_S29,NPB_F11_3_C8_S29,130584319,40127251,90457068
NPB_F11_4_D8_S30,NPB_F11_4_D8_S30,119449483,48319039,71130444
NPB_F11_5_E8_S31,NPB_F11_5_E8_S31,117710414,35703611,82006803
NPB_F11_6_F8_S32,NPB_F11_6_F8_S32,112908975,38192981,74715994
NPB_F11_7_G8_S33,NPB_F11_7_G8_S33,113614519,39281980,74332539
NPB_F11_8_H8_S34,NPB_F11_8_H8_S34,103656726,34849142,68807584
NPB_F11_9_A9_S35,NPB_F11_9_A9_S35,78283130,29008620,49274510
NPB_F12_1_E9_S39,NPB_F12_1_E9_S39,135181144,48730809,86450335
NPB_F12_10_F10_S48,NPB_F12_10_F10_S48,170956144,60708790,110247354
NPB_F12_11_G10_S49,NPB_F12_11_G10_S49,161271963,66567861,94704102
NPB_F12_12_H10_S50,NPB_F12_12_H10_S50,167327927,61857140,105470787
NPB_F12_2_F9_S40,NPB_F12_2_F9_S40,148245496,50934715,97310781
NPB_F12_3_G9_S41,NPB_F12_3_G9_S41,124749225,43020338,81728887
NPB_F12_4_H9_S42,NPB_F12_4_H9_S42,112890045,43141318,69748727
NPB_F12_5_A10_S43,NPB_F12_5_A10_S43,137460978,58652539,78808439
NPB_F12_6_B10_S44,NPB_F12_6_B10_S44,151652959,59340765,92312194
NPB_F12_7_C10_S45,NPB_F12_7_C10_S45,164921553,62738439,102183114
NPB_F12_8_D10_S46,NPB_F12_8_D10_S46,130374808,48117549,82257259
NPB_F12_9_E10_S47,NPB_F12_9_E10_S47,168396420,69926184,98470236
NPB_F13_1_A11_S51,NPB_F13_1_A11_S51,84586906,35349926,49236980
NPB_F13_10_B12_S60,NPB_F13_10_B12_S60,142142771,56791226,85351545
NPB_F13_11_C12_S61,NPB_F13_11_C12_S61,125972632,45684360,80288272
NPB_F13_12_D12_S62,NPB_F13_12_D12_S62,123688362,43097680,80590682
