ID,SampleName,NumberOfInputReads,ForwardOnlySurviving,ReverseOnlySurviving,Dropped
108_MC_B2_S20,108_MC_B2_S20,62345558,3959366,218761,276998
109_NegContCooler_C2_S53,109_NegContCooler_C2_S53,205642,4103,1114,429
110_NegSC_D2_S4,110_NegSC_D2_S4,493061,12680,3313,1737
NPB_F1_1_A2_S1,NPB_F1_1_A2_S1,83541865,2765153,304234,209960
NPB_F1_10_B3_S10,NPB_F1_10_B3_S10,63571909,1857878,224112,115474
NPB_F1_11_C3_S11,NPB_F1_11_C3_S11,61103540,1747523,214726,106862
NPB_F1_12_D3_S12,NPB_F1_12_D3_S12,62100412,1871084,229494,111939
NPB_F1_2_B2_S2,NPB_F1_2_B2_S2,74157202,2520098,267383,165442
NPB_F1_3_C2_S3,NPB_F1_3_C2_S3,72692262,2640761,252607,177430
NPB_F1_4_D2_S4,NPB_F1_4_D2_S4,47946498,1756877,164080,106332
NPB_F1_5_E2_S5,NPB_F1_5_E2_S5,110560307,3681479,378341,338409
NPB_F1_6_F2_S6,NPB_F1_6_F2_S6,80543428,3028357,270056,230361
NPB_F1_7_G2_S7,NPB_F1_7_G2_S7,73792847,2562719,252630,168804
NPB_F1_8_H2_S8,NPB_F1_8_H2_S8,88814436,3288493,324116,294311
NPB_F1_9_A3_S9,NPB_F1_9_A3_S9,58875195,1733705,222889,117678
NPB_F10_1_E6_S15,NPB_F10_1_E6_S15,82323305,2492031,381639,275423
NPB_F10_10_F7_S24,NPB_F10_10_F7_S24,62154697,2022855,286425,155229
NPB_F10_11_G7_S25,NPB_F10_11_G7_S25,67058791,2044541,320574,166498
NPB_F10_12_H7_S26,NPB_F10_12_H7_S26,65959077,2594287,300941,159014
NPB_F10_2_F6_S16,NPB_F10_2_F6_S16,67180,4390,1982,2357
NPB_F10_3_G6_S17,NPB_F10_3_G6_S17,70583613,2103818,346218,255648
NPB_F10_4_H6_S18,NPB_F10_4_H6_S18,61878898,2337141,295001,140605
NPB_F10_5_A7_S19,NPB_F10_5_A7_S19,74406162,2552067,341596,178766
NPB_F10_6_B7_S20,NPB_F10_6_B7_S20,67965450,2147266,307642,156219
NPB_F10_7_C7_S21,NPB_F10_7_C7_S21,67697840,2432313,309516,153755
NPB_F10_8_D7_S22,NPB_F10_8_D7_S22,64143100,2280109,294829,158021
NPB_F10_9_E7_S23,NPB_F10_9_E7_S23,66520497,1996588,300850,145493
NPB_F11_1_A8_S27,NPB_F11_1_A8_S27,68323949,2431221,319963,184234
NPB_F11_10_B9_S36,NPB_F11_10_B9_S36,64253342,1859822,297727,113933
NPB_F11_11_C9_S37,NPB_F11_11_C9_S37,73326924,2352282,317720,132500
NPB_F11_12_D9_S38,NPB_F11_12_D9_S38,45088761,1687086,208394,80925
NPB_F11_2_B8_S28,NPB_F11_2_B8_S28,72285666,2023145,325895,148087
NPB_F11_3_C8_S29,NPB_F11_3_C8_S29,67937560,2172519,319696,155066
NPB_F11_4_D8_S30,NPB_F11_4_D8_S30,63945393,3772366,310179,144346
NPB_F11_5_E8_S31,NPB_F11_5_E8_S31,61064800,1805036,274058,134763
NPB_F11_6_F8_S32,NPB_F11_6_F8_S32,58507094,1677107,262645,117103
NPB_F11_7_G8_S33,NPB_F11_7_G8_S33,58866744,1663259,281342,122415
NPB_F11_8_H8_S34,NPB_F11_8_H8_S34,54206234,1987436,253632,138797
NPB_F11_9_A9_S35,NPB_F11_9_A9_S35,40721631,1319358,184493,77855
NPB_F12_1_E9_S39,NPB_F12_1_E9_S39,69995285,1977835,306383,124645
NPB_F12_10_F10_S48,NPB_F12_10_F10_S48,88477538,2448831,393510,168461
NPB_F12_11_G10_S49,NPB_F12_11_G10_S49,83712592,2526336,388900,164841
NPB_F12_12_H10_S50,NPB_F12_12_H10_S50,87503667,3259230,398073,185831
NPB_F12_2_F9_S40,NPB_F12_2_F9_S40,76830312,2241424,335655,136546
NPB_F12_3_G9_S41,NPB_F12_3_G9_S41,64559716,1781411,290470,118755
NPB_F12_4_H9_S42,NPB_F12_4_H9_S42,59150291,2345685,268023,122352
NPB_F12_5_A10_S43,NPB_F12_5_A10_S43,71536671,2340784,347773,123714
NPB_F12_6_B10_S44,NPB_F12_6_B10_S44,78258974,1963779,353953,118944
NPB_F12_7_C10_S45,NPB_F12_7_C10_S45,85403451,2415650,383611,146553
NPB_F12_8_D10_S46,NPB_F12_8_D10_S46,67789332,2167257,318170,120178
NPB_F12_9_E10_S47,NPB_F12_9_E10_S47,87132897,2401768,381483,154690
NPB_F13_1_A11_S51,NPB_F13_1_A11_S51,43924694,1355446,199399,81639
NPB_F13_10_B12_S60,NPB_F13_10_B12_S60,73302582,1802151,324900,120706
NPB_F13_11_C12_S61,NPB_F13_11_C12_S61,65167638,1788298,276817,123991
NPB_F13_12_D12_S62,NPB_F13_12_D12_S62,64183925,1948453,281418,116489
NPB_F13_2_B11_S52,NPB_F13_2_B11_S52,72179168,1833826,327085,125989
NPB_F13_3_C11_S53,NPB_F13_3_C11_S53,68521331,1947295,295794,108337
NPB_F13_4_D11_S54,NPB_F13_4_D11_S54,57701923,1795986,260629,108221
NPB_F13_5_E11_S55,NPB_F13_5_E11_S55,65538369,1738507,292581,101253
NPB_F13_6_F11_S56,NPB_F13_6_F11_S56,70484331,1803954,314896,119704
NPB_F13_7_G11_S57,NPB_F13_7_G11_S57,63474100,1561198,290335,113978
NPB_F13_8_H11_S58,NPB_F13_8_H11_S58,58242949,2255184,268456,134035
NPB_F13_9_A12_S59,NPB_F13_9_A12_S59,76098058,2219155,335692,143653
NPB_F14_1_E12_S63,NPB_F14_1_E12_S63,69626976,1736803,312495,120878
NPB_F14_10_F1_S72,NPB_F14_10_F1_S72,56339995,1216815,243976,106204
NPB_F14_11_G1_S73,NPB_F14_11_G1_S73,60348204,1341654,271319,104532
NPB_F14_12_H1_S74,NPB_F14_12_H1_S74,51993406,1439141,224816,100095
NPB_F14_2_F12_S64,NPB_F14_2_F12_S64,81673933,2032788,366699,160352
NPB_F14_3_G12_S65,NPB_F14_3_G12_S65,60700502,1705101,271396,117102
NPB_F14_4_H12_S66,NPB_F14_4_H12_S66,75549708,2624178,346297,176971
NPB_F14_5_A1_S67,NPB_F14_5_A1_S67,66200635,1283294,279907,111214
NPB_F14_6_B1_S68,NPB_F14_6_B1_S68,87131661,1164148,370636,129606
NPB_F14_7_C1_S69,NPB_F14_7_C1_S69,63195673,1283386,260701,97682
NPB_F14_8_D1_S70,NPB_F14_8_D1_S70,52614786,959754,228047,88906
NPB_F14_9_E1_S71,NPB_F14_9_E1_S71,60195874,947634,251516,88470
NPB_F15_1_A2_S75,NPB_F15_1_A2_S75,59049740,1202017,251959,117533
NPB_F15_10_B3_S84,NPB_F15_10_B3_S84,65269977,957550,266981,102156
NPB_F15_11_C3_S85,NPB_F15_11_C3_S85,77291062,1287557,303397,121893
NPB_F15_12_D3_S86,NPB_F15_12_D3_S86,55446616,974649,225468,86878
NPB_F15_2_B2_S76,NPB_F15_2_B2_S76,62062880,984781,258813,115473
NPB_F15_3_C2_S77,NPB_F15_3_C2_S77,71740282,1331337,289906,127817
NPB_F15_4_D2_S78,NPB_F15_4_D2_S78,61902619,1092287,262182,116210
NPB_F15_5_E2_S79,NPB_F15_5_E2_S79,70477463,1083611,289727,118491
NPB_F15_6_F2_S80,NPB_F15_6_F2_S80,71334687,1316585,293229,137410
NPB_F15_7_G2_S81,NPB_F15_7_G2_S81,52611725,1392034,232782,106066
NPB_F15_8_H2_S82,NPB_F15_8_H2_S82,54111175,1514249,230745,120729
NPB_F15_9_A3_S83,NPB_F15_9_A3_S83,70847804,1533455,284449,124428
NPB_F16_1_E3_S87,NPB_F16_1_E3_S87,75394629,1386367,319851,128548
NPB_F16_10_F4_S51,NPB_F16_10_F4_S51,70342114,1281700,339508,116163
NPB_F16_11_G4_S52,NPB_F16_11_G4_S52,73912592,1510877,362626,129223
NPB_F16_12_H4_S53,NPB_F16_12_H4_S53,65846123,1733453,324737,115555
NPB_F16_2_F3_S88,NPB_F16_2_F3_S88,61203288,1033367,270422,104328
NPB_F16_3_G3_S89,NPB_F16_3_G3_S89,95645897,2623700,444048,168313
NPB_F16_4_H3_S90,NPB_F16_4_H3_S90,75527719,2775035,345291,212624
NPB_F16_5_A4_S91,NPB_F16_5_A4_S91,61188830,1063519,293555,74670
NPB_F16_6_B4_S92,NPB_F16_6_B4_S92,75050421,1088911,350118,89581
NPB_F16_7_C4_S48,NPB_F16_7_C4_S48,71300803,1188911,332520,102046
NPB_F16_8_D4_S49,NPB_F16_8_D4_S49,51568355,707300,251888,78136
NPB_F16_9_E4_S50,NPB_F16_9_E4_S50,67844740,792981,313466,89614
NPB_F17_1_A5_S54,NPB_F17_1_A5_S54,59651878,1592787,275199,107796
NPB_F17_10_B6_S63,NPB_F17_10_B6_S63,71098701,1276352,314472,104999
NPB_F17_11_C6_S64,NPB_F17_11_C6_S64,61120495,1668379,262372,122212
NPB_F17_12_D6_S65,NPB_F17_12_D6_S65,65041089,1749894,313058,123764
NPB_F17_2_B5_S55,NPB_F17_2_B5_S55,73326055,1666021,322471,126153
NPB_F17_3_C5_S56,NPB_F17_3_C5_S56,59210825,1436374,272145,107275
