ID,Original_ID,Animal,Sample_ID,Time,Treatment,PCR,Culture,Serogroup,Reads,Paired_reads,phred,Batch,Run,Lane,Group_cat,Group,NumTime,human_contaminant_reads,GG_16S_counts,mem_GG16S_counts,Trimmed_paired_reads,Non_host_paired_reads,Unclassified_read_percentage,AMR_raw_hits,AMR_CSS_hits,AMR_raw_bnorm,kraken_sum,AMR_class_Richness,AMR_class_Shannon,AMR_mech_Richness,AMR_mech_Shannon,kraken_phylum_Richness,kraken_phylum_Shannon,kraken_class_Richness,kraken_class_Shannon,kraken_order_Richness,kraken_order_Shannon,kraken_family_Richness,kraken_family_Shannon,kraken_genus_Richness,kraken_genus_Shannon,kraken_species_Richness,kraken_species_Shannon,kraken_domain_Richness,kraken_domain_Shannon,Senterica_counts_custom_filtered,Senterica_counts_std_filter,Senterica_counts_std,Senterica_counts_custom
11_GGCTAC_L001,11,1,1,Day1,Treated,0,0,neg,145971450,72985725,35.09,11,1,1,1,Day1-Treated,1,1107905,196028,309982,69992146,51643315,96.75,71933,16034.9977708426,0.3410583842,606695,5,0.8276898129,9,1.1939138775,37,1.5513936834,74,2.3358383827,165,2.8569146316,363,4.1942115428,1106,5.0194355309,3409,6.3249423714,3,0.0724278903,1,1,876,957
37_CTTGTA_L001,37,2,2,Day1,Treated,0,0,neg,91312156,45656078,34.82,11,1,1,1,Day1-Treated,1,884562,140938,152531,43004261,37718769,96.58,60868,29378.5748909355,0.3133272568,2794500,6,0.8174247097,16,1.1577085119,37,1.5978022651,74,2.4577290733,168,2.953885551,368,4.1884157839,1129,4.9739053363,3563,6.2967462091,3,0.1085042266,1,8,1039,910
51_AGTCAA_L001,51,3,3,Day1,Treated,0,0,neg,149400658,74700329,35.05,11,1,1,1,Day1-Treated,1,1041670,206572,270402,71482218,59626525,96.83,65964,16853.3469596321,0.2934899887,3173217,4,0.7682367532,9,1.1812068214,38,1.5573396581,73,2.2157895011,168,2.8473848819,370,4.1389396674,1128,4.9462197021,3513,6.0486332169,3,0.0809052045,0,0,1236,1177
62_AGTTCC_L002,62,4,4,Day1,Treated,0,0,neg,106588796,53294398,35.03,12,1,2,1,Day1-Treated,1,4639154,157257,188273,50859060,43158901,96.36,61006,20490.756302521,0.363087183,5289938,7,1.074988414,17,1.4441328755,38,1.2995031577,74,1.8321761432,168,2.2208588092,371,2.8534572588,1138,4.166054045,3578,5.0824557451,3,0.1052332778,12,24,1539,1164
83_ATGTCA_L002,83,5,5,Day1,Treated,0,0,neg,111229990,55614995,34.85,12,1,2,1,Day1-Treated,1,660514,142777,276874,52232070,39290183,96.71,50801,40902.576489533,0.3372967261,2530506,7,0.8829041422,16,1.2539318438,37,1.5587732434,74,2.2527911456,167,2.7323787533,364,3.8311836707,1116,4.5304162262,3508,5.8584069459,3,0.062540915,0,0,1434,782
84_CCGTCC_L003,84,6,6,Day1,Treated,0,0,neg,102560266,51280133,34.81,13,1,3,1,Day1-Treated,1,832486,132182,167243,48350438,38255539,96.98,46812,16015.0530277113,0.3342871859,4633854,4,0.8432273626,10,1.2022434052,38,1.6137917687,74,2.3122176796,167,2.8327120691,368,3.8852117258,1130,4.8684526323,3604,6.0947114987,3,0.1627787577,1,1,930,852
92_GTCCGC_L003,92,7,7,Day1,Treated,0,0,neg,109820184,54910092,34.81,13,1,3,1,Day1-Treated,1,501206,151205,171364,51993321,43325943,96.82,48990,39286.2870890136,0.3028577322,3689555,6,0.8391683211,17,1.227085835,38,1.511056166,74,2.202050529,169,2.6161075586,372,3.47327509,1131,4.0634245197,3567,4.9377712966,3,0.0798428963,0,0,934,941
93_GTGAAA_L003,93,8,8,Day1,Treated,0,0,neg,116066062,58033031,35.14,13,1,3,1,Day1-Treated,1,1068618,167222,325070,55580928,40559750,96.73,50061,22838.0474452555,0.2733241703,3752319,6,0.8221275793,14,1.1726775435,38,1.5739777307,73,2.2430877104,168,2.8455069165,372,4.0528458384,1127,4.8035439171,3562,5.9800910279,3,0.073004798,0,1,855,856
102_GTGGCC_L004,102,9,9,Day1,Treated,0,0,neg,111183666,55591833,35.4,14,1,4,1,Day1-Treated,1,840452,189240,212714,53370571,44638067,96.03,57456,14679.3716198815,0.2722245754,2553827,7,1.1630432461,16,1.5413677782,38,1.5876387231,74,2.3445234217,167,2.8956307638,368,4.1575304114,1130,5.0108489829,3572,6.3678557731,3,0.1036969825,18,18,1354,1485
103_ATTCCT_L004,103,10,10,Day1,Treated,0,0,neg,105192858,52596429,35.71,14,1,4,1,Day1-Treated,1,1345741,204680,262470,51252192,43377011,93.71,83165,7141.9656786272,0.375000537,2553209,7,1.5283648087,17,2.0273291678,37,1.5660703675,74,2.3027844859,165,2.8293562192,366,4.0969207349,1118,4.8887818527,3554,6.3287783698,3,0.068476011,111,205,5225,3900
130_ATCACG_L005,130,11,11,Day1,Treated,0,0,neg,111111304,55555652,35.28,15,1,5,1,Day1-Treated,1,766914,170929,222401,53615411,41097185,96.53,49241,12236.8290258449,0.2652315113,3494778,4,0.8544475228,8,1.1771853678,38,1.5576600485,74,2.2695426334,168,2.7885132883,368,3.9369776018,1122,4.8263199678,3552,6.1201732579,3,0.092286624,0,0,875,841
155_CGATGT_L005,155,12,12,Day1,Treated,1,1,K,153258638,76629319,35.15,15,1,5,1,Day1-Treated,1,978010,240849,267121,73138923,58400529,95.96,88626,14707.55823697,0.3468344392,1944852,7,1.3284061425,17,1.7112330468,38,1.6160358531,74,2.3867061011,166,2.9629613891,364,4.2828487711,1112,5.1090701411,3513,6.4349153683,3,0.1328591002,8,8,2238,1928
156_ACAGTG_L005,156,13,13,Day1,Treated,0,0,neg,56132922,28066461,35.09,15,1,5,1,Day1-Treated,1,301626,77557,123100,26719570,21964644,96.19,34006,12288.6075949367,0.4149476361,1839227,7,1.2159708666,15,1.6440365116,37,1.5313375056,74,2.2493977488,167,2.7673014735,365,4.0306517816,1114,4.8101571733,3470,6.1648663844,3,0.0898128511,22,32,964,781
158_GCCAAT_L006,158,14,14,Day1,Treated,0,0,neg,107079106,53539553,34.99,16,1,6,1,Day1-Treated,1,698008,162244,199476,50648293,45309724,96.52,67683,32914.3135345667,0.3875814855,2191052,6,0.9513745751,16,1.3552968741,37,1.6242344028,74,2.3509182592,167,2.8854750125,370,4.0400077107,1120,4.9581713121,3552,6.2592802729,3,0.1541116993,7,21,1398,1030
164_TTAGGC_L006,164,15,15,Day1,Treated,1,1,C1,82125542,41062771,35.29,16,1,6,1,Day1-Treated,1,676928,118447,202076,39545103,31925154,96.52,41682,18119.2660550459,0.5443309602,3159015,5,0.9025760345,11,1.1363119774,37,1.5588036133,74,2.3007781841,167,2.8188638664,368,3.8615242553,1124,4.5439887457,3508,5.7093000018,3,0.0614945046,15,30,1210,872
208_CAGATC_L007,208,16,16,Day1,Untreated,0,0,neg,52418910,26209455,35.07,17,1,7,2,Day1-Untreated,1,516751,87475,116412,24443697,20612673,96.52,23837,9874.4821872411,0.241774254,3335455,4,0.7193403861,6,0.9689084685,37,1.5400206446,74,2.2446149392,169,2.6945764931,370,3.5753509457,1129,4.1850806025,3533,5.425901262,3,0.0698605275,0,8,550,482
216_ACTTGA_L007,216,17,17,Day1,Untreated,0,0,neg,140033338,70016669,35.47,17,1,7,2,Day1-Untreated,1,1037375,202620,224848,67415572,56255245,96.6,62753,48457.9150579151,0.2887385375,3498544,6,0.9036912244,16,1.2780166417,37,1.5550214089,74,2.2944639686,169,2.8012474543,368,3.9552135339,1120,4.8456783483,3532,5.989165507,3,0.060607956,0,0,1413,1203
220_TGACCA_L007,220,18,18,Day1,Untreated,0,0,neg,43815656,21907828,35.16,17,1,7,2,Day1-Untreated,1,283907,71667,92117,20695675,17656228,96.51,18503,14049.3545937737,0.4157700721,4102371,4,0.847861548,9,1.0879561266,38,1.5512067427,74,2.2893579519,168,2.8037102769,364,3.8910709454,1116,4.5919879803,3511,5.6452947402,3,0.0588990453,5,5,498,488
227_ATGTCA_L008,227,19,19,Day1,Untreated,0,0,neg,110624932,55312466,35.36,18,1,8,2,Day1-Untreated,1,1425963,149263,173419,52703369,45163638,96.51,59825,21105.3565094005,0.3674622927,2771254,7,1.0368113363,17,1.4365160676,38,1.573349801,73,2.2390431323,168,2.8385014053,369,4.1192711618,1121,4.9063339439,3546,6.1431000007,3,0.0660501001,0,11,1303,1104
228_CCGTCC_L008,228,20,20,Day1,Untreated,0,0,neg,68160622,34080311,35.35,18,1,8,2,Day1-Untreated,1,659940,114661,120266,32659118,28514109,96.56,22987,8003.8300835655,0.1850239164,2624568,4,0.711067093,7,1.0152118439,38,1.5605218565,74,2.3027376355,167,2.8278540287,366,4.1234984314,1122,4.9200520502,3562,6.3741612686,3,0.0690045242,0,0,701,684
261_GTCCGC_L001,261,21,21,Day1,Untreated,0,0,neg,68676434,34338217,35.18,21,2,1,2,Day1-Untreated,1,573454,97616,142112,32563714,26198981,96.67,31746,29808.4507042254,0.2956860171,4182001,6,0.9084378102,16,1.2928171263,38,1.4427485609,74,2.1525371745,167,2.570837815,367,3.2165138963,1119,3.7340511621,3522,4.9253771956,3,0.0552030731,0,28,749,558
281_GTGAAA_L001,281,22,22,Day1,Untreated,0,0,neg,72353418,36176709,35.24,21,2,1,2,Day1-Untreated,1,713744,129942,152683,34445214,29577392,95.93,34582,11696.1722488038,0.2377346312,2551960,7,1.2201617066,16,1.5344507038,37,1.5228483068,73,2.2091106729,168,2.8277794031,366,4.0239025322,1119,4.8358286689,3512,6.0690298216,3,0.0751058348,4,4,1123,895
285_GTGGCC_L001,285,23,23,Day1,Untreated,0,0,neg,127215130,63607565,35.49,21,2,1,2,Day1-Untreated,1,850505,181727,345427,61119500,46706718,96.89,62546,13905.2912405514,0.3208573473,1421774,4,0.7975059474,8,1.1658654593,37,1.6547668172,73,2.3665577521,166,2.8898527862,367,4.1024872512,1112,4.8577385671,3501,6.308727687,3,0.165821405,0,0,972,957
286_GTTTCG_L002,286,24,24,Day1,Untreated,0,0,neg,81128630,40564315,35.01,22,2,2,2,Day1-Untreated,1,317928,140370,168172,38467390,34000756,96.48,41803,34806.8276436303,0.2735370612,2913129,6,0.8833017756,15,1.2485590382,38,1.5963339465,73,2.2455624246,168,2.8197818569,365,3.9759581058,1118,4.7634541755,3530,5.8675488646,3,0.1029956321,5,5,934,785
287_CGTACG_L002,287,25,25,Day1,Untreated,0,0,neg,93572398,46786199,34.98,22,2,2,2,Day1-Untreated,1,530332,187136,208191,44139338,36280650,94.36,54076,18103.3444816053,0.250630289,1463575,4,0.5238921029,9,0.6444915458,37,1.5584456,74,2.3233461664,165,2.8717800528,362,4.1613814336,1100,4.9290883074,3440,6.2418134673,3,0.0597843561,0,0,679,658
289_GAGTGG_L003,289,26,26,Day1,Untreated,0,0,neg,102850404,51425202,34.54,23,2,3,2,Day1-Untreated,1,680012,150877,189835,47202248,38356312,96.6,38551,28361.1521418021,0.2441907005,2577947,7,0.9291749744,17,1.2905197495,37,1.6127940199,74,2.3806696584,167,2.9678149894,369,4.2353756261,1119,5.1355176769,3565,6.4688986119,3,0.0899302871,0,5,1052,921
298_ACTGAT_L003,298,27,27,Day1,Untreated,0,0,neg,109496746,54748373,34.97,23,2,3,2,Day1-Untreated,1,4031215,180794,230020,51867613,44958518,96.53,43935,37170.0507614213,0.2205312288,2831475,6,0.889933603,16,1.1898955493,37,1.5262967509,74,2.2502960789,169,2.7239603125,370,3.9531016769,1132,4.6838870722,3556,6.2650573601,3,0.0629022216,2,2,1277,1125
349_TGACCA_L003,349,28,28,Day1,Untreated,0,0,neg,60095592,30047796,34.71,23,2,3,2,Day1-Untreated,1,305691,100632,97416,28034966,24351778,96.58,22863,19148.2412060302,0.5448649749,1219836,6,0.8725323944,14,1.1348737304,36,1.573068588,74,2.3195209092,168,2.8757958809,369,4.1756462752,1111,5.027584488,3508,6.398862834,3,0.0724264096,0,3,769,699
372_CAGATC_L004,372,29,29,Day1,Untreated,0,0,neg,47473406,23736703,35.49,24,2,4,2,Day1-Untreated,1,334422,72598,120619,22683717,16895206,96.54,47656,45429.9332697807,0.2297178723,2726636,4,0.7075705424,8,1.0911775376,38,1.582606737,74,2.3179582616,168,2.8361891293,367,4.12584588,1124,4.9440090897,3557,6.3609661376,3,0.1095041146,2,3,458,410
376_ACTTGA_L004,376,30,30,Day1,Untreated,0,0,neg,117543256,58771628,35.48,24,2,4,2,Day1-Untreated,1,1189166,166198,257237,56205618,42557433,96.78,61055,52895.2380952381,0.273473682,2714509,6,0.7977694884,12,1.1368441912,38,1.6130985735,74,2.3643683249,167,2.9005911605,369,4.2085411047,1138,5.0383294188,3572,6.4099655061,3,0.1342108438,1,2,997,949
