sample-id	sample_type	meat_type	Meat_type	specific_sample_type	treatment	pool_timepoint	participant_id	weeks_in_pool	arm	blinded_treatment	treatment_order	Combined_order	End_washout	End_trial	End_trial_combined	unique_group	raw_paired_reads	ASV_hits	Trial	Habitating	Co-Habitating
HFT-F-101A_S3	Fecal	NA	NA Fecal	Fecal	NA	A	101	2	1	B	BA	Start_CONV	Group2_A			Group2_A	105864	39762			
HFT-F-101B_S4	Fecal	NA	NA Fecal	Fecal	NA	B	101	2	1	B	BA	Midpoint_CONV				Group2_B	95904	35271	Group 2		
HFT-F-101C_S5	Fecal	NA	NA Fecal	Fecal	NA	C	101	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	74988	20811	Group 2		
HFT-F-101D_S6	Fecal	NA	NA Fecal	Fecal	NA	D	101	2	3	D	BA	Start_RWA	Group2_D			Group2_D	102140	39593			
HFT-F-102A_S7	Fecal	NA	NA Fecal	Fecal	NA	A	102	2	1	A	AB	Start_RWA	Group1_A			Group1_A	105174	39360			
HFT-F-102B_S8	Fecal	NA	NA Fecal	Fecal	NA	B	102	2	1	A	AB	Midpoint_RWA				Group1_B	96318	35071	Group 1		
HFT-F-102C_S9	Fecal	NA	NA Fecal	Fecal	NA	C	102	2	1	A	AB	End_RWA		Group1_A	Blinded_A	Group1_C	103126	37613	Group 1		
HFT-F-102D_S10	Fecal	NA	NA Fecal	Fecal	NA	D	102	2	3	D	AB	Start_CONV	Group1_D			Group1_D	88880	31572			
HFT-F-102E_S11	Fecal	NA	NA Fecal	Fecal	NA	E	102	2	2	B	AB	Midpoint_CONV				Group1_E	84840	29197	Group 2		
HFT-F-102F-1-repeatID_S12	Fecal	NA	NA Fecal	Fecal	NA	F	102	2	2	B	AB	End_CONV		Group1_B	Blinded_B	Group1_F	95978	35257	Group 2		
HFT-F-102F-2-repeatID_S163	Fecal	NA	NA Fecal	Fecal	NA	F	102	2	2	B	AB	End_CONV		Group1_B	Blinded_B	Group1_F	108416	40582	Group 2		
HFT-F-102G_S164	Fecal	NA	NA Fecal	Fecal	NA	G	102	2	2	B	AB	Final_Washout	Group1_G			Group1_G	91220	29853			
HFT-F-103A_S13	Fecal	NA	NA Fecal	Fecal	NA	A	103	2	1	A	AB	Start_RWA	Group1_A			Group1_A	84580	28373		Shared	Shared_2
HFT-F-103B_S14	Fecal	NA	NA Fecal	Fecal	NA	B	103	2	1	A	AB	Midpoint_RWA				Group1_B	83722	29180	Group 1	Shared	Shared_2
HFT-F-103C_S15	Fecal	NA	NA Fecal	Fecal	NA	C	103	2	1	A	AB	End_RWA		Group1_A	Blinded_A	Group1_C	74050	24648	Group 1	Shared	Shared_2
HFT-F-103D_S16	Fecal	NA	NA Fecal	Fecal	NA	D	103	2	3	D	AB	Start_CONV	Group1_D			Group1_D	77724	27428		Shared	Shared_2
HFT-F-103E_S17	Fecal	NA	NA Fecal	Fecal	NA	E	103	2	2	B	AB	Midpoint_CONV				Group1_E	74694	25077	Group 2	Shared	Shared_2
HFT-F-103F_S18	Fecal	NA	NA Fecal	Fecal	NA	F	103	2	2	B	AB	End_CONV		Group1_B	Blinded_B	Group1_F	105136	38176	Group 2	Shared	Shared_2
