assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_023517855.1	PRJNA767258	SAMN21895066	na	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=30S	na	latest	Complete Genome	Major	Full	2022/05/23	ASM2351785v1		GCF_023517855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/517/855/GCA_023517855.1_ASM2351785v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_023517855.1/GCA_023517855.1_ASM2351785v1_genomic.fna.gz
GCA_023517915.1	PRJNA767258	SAMN21895062	na	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=5S	na	latest	Complete Genome	Major	Full	2022/05/23	ASM2351791v1		GCF_023517915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/517/915/GCA_023517915.1_ASM2351791v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_023517915.1/GCA_023517915.1_ASM2351791v1_genomic.fna.gz
GCA_023517875.1	PRJNA767258	SAMN21895065	na	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=30R	na	latest	Complete Genome	Major	Full	2022/05/23	ASM2351787v1		GCF_023517875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/517/875/GCA_023517875.1_ASM2351787v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_023517875.1/GCA_023517875.1_ASM2351787v1_genomic.fna.gz
GCA_023517835.1	PRJNA767258	SAMN21895067	na	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=31R	na	latest	Complete Genome	Major	Full	2022/05/23	ASM2351783v1		GCF_023517835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/517/835/GCA_023517835.1_ASM2351783v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_023517835.1/GCA_023517835.1_ASM2351783v1_genomic.fna.gz
GCA_023517895.1	PRJNA767258	SAMN21895064	na	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=23S	na	latest	Complete Genome	Major	Full	2022/05/23	ASM2351789v1		GCF_023517895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/517/895/GCA_023517895.1_ASM2351789v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_023517895.1/GCA_023517895.1_ASM2351789v1_genomic.fna.gz
GCA_023517815.1	PRJNA767258	SAMN21895068	na	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=31S	na	latest	Complete Genome	Major	Full	2022/05/23	ASM2351781v1		GCF_023517815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/517/815/GCA_023517815.1_ASM2351781v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_023517815.1/GCA_023517815.1_ASM2351781v1_genomic.fna.gz
GCA_023517935.1	PRJNA767258	SAMN21895061	na	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=5R	na	latest	Complete Genome	Major	Full	2022/05/23	ASM2351793v1		GCF_023517935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/517/935/GCA_023517935.1_ASM2351793v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_023517935.1/GCA_023517935.1_ASM2351793v1_genomic.fna.gz
GCA_023559755.1	PRJNA767258	SAMN21895059	JAIWZS000000000.1	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=4R	na	latest	Contig	Major	Full	2022/05/26	ASM2355975v1		GCF_023559755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/559/755/GCA_023559755.1_ASM2355975v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_023559755.1/GCA_023559755.1_ASM2355975v1_genomic.fna.gz
GCA_001594265.1	PRJNA288377	SAMN03799081	na	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=624	na	latest	Complete Genome	Major	Full	2016/03/21	ASM159426v1		GCF_001594265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/265/GCA_001594265.1_ASM159426v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_001594265.1/GCA_001594265.1_ASM159426v1_genomic.fna.gz
GCA_001690155.1	PRJNA328135	SAMN05363964	na	na	na	na	714	714	Aggregatibacter actinomycetemcomitans	strain=IDH781	na	latest	Complete Genome	Major	Full	2016/07/21	ASM169015v1		GCF_001690155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/690/155/GCA_001690155.1_ASM169015v1	./genbank_Pasteurellaceae_genomes_noMH/genbank/bacteria/GCA_001690155.1/GCA_001690155.1_ASM169015v1_genomic.fna.gz
